xmlns,id,name,market,alias,team__full__name,founded,reference,venue__name,venue__capacity,venue__city,venue__state,venue__state__name,venue__country,hierarchy__|,hierarchy__|__id,hierarchy__|__name,hierarchy__|__alias,coaches__coach__id,coaches__coach__full_name,coaches__coach__first_name,coaches__coach__last_name,coaches__coach__position,coaches__coach__experience,coaches__coach__reference,players__player__id,players__player__status,players__player__full_name,players__player__first_name,players__player__last_name,players__player__abbr_name,players__player__height,players__player__weight,players__player__position,players__player__primary_position,players__player__jersey_number,players__player__experience,players__player__college,players__player__birth_place,players__player__birth_state,players__player__birth_state_code,players__player__birth_country,players__player__birth_country_code,players__player__birthdate,players__player__age,players__player__draft__year
http://feed.elasticstats.com/schema/basketball/team-v2.0.xsd,583ecb8f-fb46-11e1-82cb-f4ce4684ea4c,Hawks,Atlanta,ATL,Atlanta Hawks,1946,1610612737,State Farm Arena,18118,Atlanta,GA,Georgia,USA,league,4353138d-4c22-4396-95d8-5f587d2df25c,NBA,NBA,3166d472-e98b-4b04-b808-12c72cc9e903,Lloyd Pierce,Lloyd,Pierce,Head Coach,1,202603,0ffd6d00-1aa4-49e0-a85d-6a538417ff3b,ACT,Justin Anderson,Justin,Anderson,J.Anderson,78,230,G-F,SG,1,3,Virginia,"Montross, VA, USA",Virginia,VA,USA,USA,19/11/1993,24,2015
,,,,,,,,,,,,,,conference,3960cfac-7361-4b30-bc25-8d393de6f62f,EASTERN CONFERENCE,EASTERN,,,,,,,,10a4ebb7-7be4-4fda-b7c7-fd20a6e7a6c0,ACT,Jaylen Adams,Jaylen,Adams,J.Adams,74,190,G,SG,10,0,St. Bonaventure,"Baltimore, MD, USA",Maryland,MD,USA,USA,04/05/1996,22,2018
,,,,,,,,,,,,,,division,54dc7348-c1d2-40d8-88b3-c4c0138e085d,Southeast,SOUTHEAST,,,,,,,,28a2e698-9f33-4d4d-9a5d-9bea66ee42a1,ACT,John Collins,John,Collins,J.Collins,82,235,F-C,PF,20,1,Wake Forest,"Layton, UT, USA",Utah,UT,USA,USA,23/09/1997,21,2017
,,,,,,,,,,,,,,,,,,,,,,,,,2ef47392-9f85-47e7-a844-b5d97cf412c9,NWT,Bruno Fernando,Bruno,Fernando,B.Fernando,82,233,F,PF,,0,Maryland,"Luanda,, AGO",,,Angola,AGO,15/08/1998,20,2019
,,,,,,,,,,,,,,,,,,,,,,,,,2facd6c5-10c6-4481-a20f-a885b3f84460,ACT,Alex Len,Alex,Len,A.Len,85,250,C,C,25,5,Maryland,"Antratsyt,, UKR",,,Ukraine,UKR,16/06/1993,25,2013
,,,,,,,,,,,,,,,,,,,,,,,,,5ac1fb0f-24fe-4dce-aba5-6fc0dc9c27e7,ACT,Allen Crabbe,Allen,Crabbe,A.Crabbe,78,212,G-F,SG,33,5,California,"Los Angeles, CA, USA",California,CA,USA,USA,09/04/1992,26,2013
,,,,,,,,,,,,,,,,,,,,,,,,,73e55440-d981-48e6-9639-d2ed7276f22d,ACT,Miles Plumlee,Miles,Plumlee,M.Plumlee,83,249,C,C,18,6,Duke,"Fort Wayne, IN, USA",Indiana,IN,USA,USA,01/09/1988,30,2012
,,,,,,,,,,,,,,,,,,,,,,,,,858d255e-9a7b-4c7a-aac4-fc7cf3a5f238,ACT,Kevin Huerter,Kevin,Huerter,K.Huerter,79,190,G,SG,3,0,Maryland,"Albany, NY, USA",New York,NY,USA,USA,27/08/1998,20,2018
,,,,,,,,,,,,,,,,,,,,,,,,,8f10f30f-cab7-43e1-be6b-736cd8700081,NWT,Cam Reddish,Cam,Reddish,C.Reddish,80,208,F-G,SF,22,0,Duke,"Norristown, PA, USA",Pennsylvania,PA,USA,USA,01/09/1999,19,2019
,,,,,,,,,,,,,,,,,,,,,,,,,919fd44b-8714-4e2d-b860-5f4de0fe7d50,ACT,Omari Spellman,Omari,Spellman,O.Spellman,81,245,F,PF,6,0,Villanova,"Cleveland, OH, USA",Ohio,OH,USA,USA,21/07/1997,22,2018
,,,,,,,,,,,,,,,,,,,,,,,,,a4a75d83-54b5-4dca-913e-44ab04288446,NWT,De'Andre Hunter,De'Andre,Hunter,D.Hunter,79,225,F-G,SF,,0,Virginia,"Philadelphia, PA, USA",Pennsylvania,PA,USA,USA,02/12/1997,21,2019
,,,,,,,,,,,,,,,,,,,,,,,,,b0f27c9e-08a5-4368-94a6-b45fafc09519,ACT,Isaac Humphries,Isaac,Humphries,I.Humphries,84,255,F-C,PF,8,0,Kentucky,"Caringbah,, AUS",,,Australia,AUS,05/01/1998,20,2017
,,,,,,,,,,,,,,,,,,,,,,,,,b6af5cf5-47e9-45d5-be2f-3c769f530846,ACT,Alex Poythress,Alex,Poythress,A.Poythress,81,235,F,PF,22,2,Kentucky,"Savannah, GA, USA",Georgia,GA,USA,USA,06/09/1993,25,2016
,,,,,,,,,,,,,,,,,,,,,,,,,b8a77045-a325-4ac1-ad9c-d065ec1f41a4,ACT,Dewayne Dedmon,Dewayne,Dedmon,D.Dedmon,84,245,C,C,14,5,Southern California,"Lancaster, CA, USA",California,CA,USA,USA,12/08/1989,29,2013
,,,,,,,,,,,,,,,,,,,,,,,,,ca4f6af4-c203-41d0-97a3-0286710710b6,ACT,Evan Turner,Evan,Turner,E.Turner,79,220,G-F,SG,,8,Ohio State,"Chicago, IL, USA",Illinois,IL,USA,USA,27/10/1988,29,2010
,,,,,,,,,,,,,,,,,,,,,,,,,cf418e0c-de9d-438f-a1ac-3be539a56c42,ACT,Trae Young,Trae,Young,T.Young,74,180,G,PG,11,0,Oklahoma,"Lubbock, TX, USA",Texas,TX,USA,USA,19/09/1998,20,2018
,,,,,,,,,,,,,,,,,,,,,,,,,db42a3d8-e493-4f0e-aa9f-149397877fea,ACT,DeAndre' Bembry,DeAndre',Bembry,D.Bembry,78,210,F,SF,95,2,Saint Joseph's,"Charlotte, NC, USA",North Carolina,NC,USA,USA,04/07/1994,24,2016
,,,,,,,,,,,,,,,,,,,,,,,,,e68c7b19-7c0e-49a6-920c-48668f7ddbcf,ACT,Solomon Hill,Solomon,Hill,S.Hill,79,225,F,SF,,5,Arizona,"Los Angeles, CA, USA",California,CA,USA,USA,18/03/1991,27,2013
,,,,,,,,,,,,,,,,,,,,,,,,,fa1c4130-38de-4ea1-b93a-4c3c962473e6,ACT,Vince Carter,Vince,Carter,V.Carter,78,220,G-F,SG,15,20,North Carolina,"Daytona Beach, FL, USA",Florida,FL,USA,USA,26/01/1977,41,1998
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://feed.elasticstats.com/schema/basketball/team-v2.0.xsd,583eccfa-fb46-11e1-82cb-f4ce4684ea4c,Celtics,Boston,BOS,Boston Celtics,1946,1610612738,TD Garden,18624,Boston,MA,Massachussetts,USA,league,4353138d-4c22-4396-95d8-5f587d2df25c,NBA,NBA,d3d2d188-c81f-4b30-be4b-fd215148b273,Brad Stevens,Brad,Stevens,Head Coach,6,203535,31f78854-0d23-4318-959c-0314588136e1,ACT,Guerschon Yabusele,Guerschon,Yabusele,G.Yabusele,80,260,F,PF,30,1,,"Dreux,, FRA",,,France,FRA,17/12/1995,22,2016
,,,,,,,,,,,,,,conference,3960cfac-7361-4b30-bc25-8d393de6f62f,EASTERN CONFERENCE,EASTERN,,,,,,,,3c09ef8a-a6f2-4500-9599-ca7bc8d54300,ACT,Brad Wanamaker,Brad,Wanamaker,B.Wanamaker,76,210,G,PG,9,0,Pittsburgh,"Philadelphia, PA, USA",Pennsylvania,PA,USA,USA,25/07/1989,29,2011
,,,,,,,,,,,,,,division,582d6502-9a93-4a8d-8785-69374d732875,Atlantic,ATLANTIC,,,,,,,,4d7cb358-0fec-482f-9f57-92c39e8bf214,ACT,Marcus Morris,Marcus,Morris,M.Morris,81,235,F,PF,13,7,Kansas,"Philadelphia, PA, USA",Pennsylvania,PA,USA,USA,02/09/1989,29,2011
,,,,,,,,,,,,,,,,,,,,,,,,,59209028-6712-47ef-b87c-bdb19f91523b,NWT,Grant Williams,Grant,Williams,G.Williams,79,236,F,PF,40,0,Tennessee,"Houston, TX, USA",Texas,TX,USA,USA,30/11/1998,29,2019
,,,,,,,,,,,,,,,,,,,,,,,,,640456ca-2cee-4a87-a7b8-76953c3fbb75,ACT,Jonathan Gibson,Jonathan,Gibson,J.Gibson,74,185,G,PG,8,2,New Mexico State,"West Covina, CA, USA",California,CA,USA,USA,08/11/1987,30,2010
,,,,,,,,,,,,,,,,,,,,,,,,,98136da3-452f-49dc-a794-1ee9c76443f2,ACT,Jayson Tatum,Jayson,Tatum,J.Tatum,80,208,F,SF,0,1,Duke,"St. Louis, MO, USA",Missouri,MO,USA,USA,03/03/1998,20,2017
,,,,,,,,,,,,,,,,,,,,,,,,,a1ddebee-950c-497d-9acd-b5061360b464,ACT,Gordon Hayward,Gordon,Hayward,G.Hayward,80,225,F,SF,20,8,Butler,"Indianapolis, IN, USA",Indiana,IN,USA,USA,23/03/1990,28,2010
